## HISTOGRAM	java.lang.Integer
coverage	high_quality_coverage_count
0	108861682
1	21169858
2	38743563
3	65967446
4	100160684
5	137633925
6	173829223
7	204386741
8	225561772
9	235016195
10	232500225
11	218501433
12	195935997
13	167872006
14	137802909
15	108517067
16	82146951
17	60002021
18	42481538
19	29220886
20	19679839
21	13030857
22	8553826
23	5632006
24	3777429
25	2582424
26	1838848
27	1363194
28	1053934
29	845678
30	697799
31	588579
32	504883
33	439882
34	386932
35	339579
36	302222
37	271134
38	243917
39	218983
40	200230
41	182271
42	169519
43	156764
44	148726
45	137154
46	127475
47	118675
48	111541
49	106205
50	99235
51	94156
52	88845
53	83305
54	79897
55	76212
56	71714
57	68828
58	66247
59	63529
60	60300
61	58791
62	55510
63	53278
64	50731
65	48344
66	46401
67	43675
68	42230
69	40483
70	38964
71	37279
72	36007
73	34350
74	32629
75	31340
76	30622
77	28919
78	27522
79	26025
80	25584
81	24336
82	23197
83	22396
84	21360
85	20681
86	19928
87	19241
88	18359
89	17886
90	17304
91	16537
92	15872
93	15146
94	14679
95	13635
96	13292
97	13010
98	12570
99	12125
100	11648
101	11007
102	10407
103	10111
104	9578
105	9112
106	8994
107	8612
108	8410
109	8194
110	8052
111	7907
112	7522
113	7356
114	7167
115	7115
116	6891
117	6462
118	6193
119	5997
120	5568
121	5467
122	5575
123	5260
124	5219
125	5022
126	4849
127	4729
128	4692
129	4622
130	4369
131	4285
132	4332
133	4064
134	3757
135	3891
136	3803
137	3829
138	3680
139	3557
140	3587
141	3424
142	3476
143	3529
144	3483
145	3230
146	3094
147	3104
148	3024
149	3077
150	3100
151	2945
152	3061
153	2899
154	2864
155	2698
156	2701
157	2653
158	2610
159	2504
160	2539
161	2477
162	2605
163	2489
164	2482
165	2304
166	2393
167	2308
168	2364
169	2409
170	2353
171	2371
172	2292
173	2312
174	2192
175	2303
176	2179
177	2208
178	2082
179	2102
180	2039
181	2000
182	1900
183	1993
184	1947
185	2003
186	1954
187	2015
188	1837
189	1909
190	1808
191	1868
192	1787
193	1805
194	1767
195	1671
196	1696
197	1782
198	1739
199	1709
200	1747
201	1694
202	1632
203	1646
204	1718
205	1605
206	1538
207	1501
208	1464
209	1397
210	1418
211	1388
212	1368
213	1354
214	1366
215	1342
216	1267
217	1321
218	1264
219	1325
220	1276
221	1188
222	1149
223	1161
224	1076
225	1056
226	1051
227	1095
228	1057
229	1056
230	1040
231	939
232	940
233	991
234	981
235	873
236	824
237	829
238	813
239	833
240	839
241	836
242	858
243	809
244	774
245	674
246	711
247	707
248	766
249	721
250	228728

