## HISTOGRAM	java.lang.Integer
coverage	high_quality_coverage_count
0	184468106
1	24031660
2	36058051
3	58810454
4	89785422
5	125834925
6	162896701
7	195911697
8	220653669
9	233780762
10	233846015
11	221511192
12	199082985
13	170157244
14	138605243
15	107849181
16	80343795
17	57393403
18	39414769
19	26084522
20	16704096
21	10424536
22	6361251
23	3817372
24	2287411
25	1392440
26	879822
27	587264
28	417529
29	314986
30	251995
31	212668
32	184277
33	162674
34	143802
35	129840
36	116063
37	105865
38	96388
39	88995
40	81161
41	74718
42	69448
43	64444
44	59517
45	55827
46	51678
47	48354
48	45176
49	42588
50	40224
51	38116
52	35788
53	33372
54	32140
55	30896
56	29489
57	27904
58	26259
59	24756
60	23226
61	21928
62	20652
63	19459
64	18251
65	17185
66	16748
67	15716
68	15042
69	14291
70	13668
71	13092
72	12562
73	11698
74	11244
75	10821
76	10303
77	9879
78	9361
79	8853
80	8600
81	8016
82	7785
83	7361
84	6827
85	6779
86	6420
87	6285
88	5846
89	5661
90	5465
91	5294
92	5164
93	4940
94	4726
95	4424
96	4192
97	4015
98	3844
99	3737
100	3762
101	3465
102	3336
103	3105
104	2938
105	2861
106	2801
107	2727
108	2640
109	2436
110	2405
111	2470
112	2322
113	2135
114	2212
115	2134
116	1996
117	2037
118	1945
119	1783
120	1798
121	1812
122	1815
123	1726
124	1731
125	1573
126	1569
127	1445
128	1435
129	1341
130	1347
131	1297
132	1234
133	1251
134	1279
135	1185
136	1141
137	1093
138	1144
139	1067
140	1076
141	1116
142	1062
143	1069
144	1005
145	1003
146	977
147	1029
148	934
149	926
150	920
151	947
152	830
153	920
154	856
155	785
156	838
157	804
158	815
159	755
160	757
161	716
162	680
163	654
164	705
165	693
166	634
167	620
168	647
169	592
170	610
171	629
172	592
173	543
174	557
175	531
176	539
177	548
178	549
179	515
180	551
181	504
182	480
183	498
184	460
185	441
186	438
187	458
188	464
189	462
190	401
191	403
192	380
193	436
194	401
195	413
196	407
197	403
198	394
199	397
200	410
201	436
202	392
203	391
204	399
205	426
206	411
207	419
208	408
209	390
210	441
211	383
212	405
213	402
214	367
215	386
216	346
217	348
218	351
219	329
220	334
221	360
222	356
223	328
224	322
225	327
226	320
227	296
228	317
229	315
230	326
231	300
232	292
233	342
234	310
235	289
236	321
237	300
238	305
239	298
240	285
241	292
242	308
243	277
244	272
245	242
246	257
247	265
248	293
249	261
250	126703

