I34710 96.75
I34711 95.94
I34712 94.83
I34713 97.75
I34714 96.71
I34715 96.28
I34716 94.16
I34717 94.12
I34718 95.54
I34719 91.59
I34720 98.00
I34721 94.83
I34722 95.66
I34723 88.34
I34724 95.48
I34725 94.06
I34726 97.19
I34727 92.35
I34728 93.74
I34729 95.63
I34730 94.03
I34731 95.83
I34732 96.21
I34733 95.29
I34734 95.78
I34735 93.44
I34736 96.35
I34737 96.64
I34738 96.78
I34739 93.69
I34740 97.38
I34741 85.70
I34742 96.01
I34743 96.88
I34744 96.79
I34745 97.16
I34746 97.44
I34747 97.75
I34748 96.65
I34749 96.33
I34750 96.92
I34751 97.15
I34752 97.24
I34753 89.61
I34754 97.05
I34755 97.46
I34756 97.69
I34757 97.05
I34758 97.18
I34759 96.61
I34760 97.33
I34761 96.97
I34762 97.76
I34763 96.62
I34764 98.59
I34765 96.61
I34766 97.62
I34767 97.93
I34768 95.99
I34769 97.40
I34770 97.45
I34771 96.57
I34772 91.80
I34773 96.43
I34774 92.38
I34775 96.62
I34776 92.79
I34777 96.39
I34778 94.63
I34779 96.34
I34780 95.49
I34781 95.65
I34782 97.13
I34783 94.89
I34784 93.00
I34785 97.53
I34786 96.26
I34787 93.67
I34788 97.33
I34789 94.69
I34790 97.25
I34791 94.69
I34792 96.67
I34793 96.66
I34794 94.12
I34795 96.96
I34796 95.61
I34797 94.12
I34798 95.72
I34799 96.52
I34772.dropout_reseqd 91.50
