1 length=	195471971	Aligned= 13797082	Unaligned= 10527
10 length=	130694993	Aligned= 9296757	Unaligned= 6243
11 length=	122082543	Aligned= 9389053	Unaligned= 7480
12 length=	120129022	Aligned= 9045220	Unaligned= 5986
13 length=	120421639	Aligned= 8759308	Unaligned= 7441
14 length=	124902244	Aligned= 8839054	Unaligned= 5846
15 length=	104043685	Aligned= 7307366	Unaligned= 4318
16 length=	98207768	Aligned= 6649721	Unaligned= 6853
17 length=	94987271	Aligned= 7112079	Unaligned= 8513
18 length=	90702639	Aligned= 6332026	Unaligned= 5316
19 length=	61431566	Aligned= 4398549	Unaligned= 3297
2 length=	182113224	Aligned= 19665692	Unaligned= 11795
3 length=	160039680	Aligned= 10767641	Unaligned= 7970
4 length=	156508116	Aligned= 11178764	Unaligned= 8597
5 length=	151834684	Aligned= 11108232	Unaligned= 8180
6 length=	149736546	Aligned= 10629352	Unaligned= 7643
7 length=	145441459	Aligned= 10579170	Unaligned= 7371
8 length=	129401213	Aligned= 9322401	Unaligned= 6830
9 length=	124595110	Aligned= 14124346	Unaligned= 7852
MT length=	16299	Aligned= 4872	Unaligned= 7
X length=	171031299	Aligned= 10547576	Unaligned= 6282
Y length=	91744698	Aligned= 141027	Unaligned= 503
JH584299.1 length=	953012	Aligned= 21671	Unaligned= 9
GL456233.1 length=	336933	Aligned= 19766	Unaligned= 36
JH584301.1 length=	259875	Aligned= 121	Unaligned= 1
GL456211.1 length=	241735	Aligned= 27519	Unaligned= 10
GL456350.1 length=	227966	Aligned= 14100	Unaligned= 3
JH584293.1 length=	207968	Aligned= 12279	Unaligned= 6
GL456221.1 length=	206961	Aligned= 25024	Unaligned= 17
JH584297.1 length=	205776	Aligned= 4131	Unaligned= 1
JH584296.1 length=	199368	Aligned= 2041	Unaligned= 0
GL456354.1 length=	195993	Aligned= 4777	Unaligned= 4
JH584294.1 length=	191905	Aligned= 11239	Unaligned= 7
JH584298.1 length=	184189	Aligned= 5517	Unaligned= 3
JH584300.1 length=	182347	Aligned= 93	Unaligned= 3
GL456219.1 length=	175968	Aligned= 6213	Unaligned= 1
GL456210.1 length=	169725	Aligned= 19080	Unaligned= 3
JH584303.1 length=	158099	Aligned= 190	Unaligned= 0
JH584302.1 length=	155838	Aligned= 25	Unaligned= 1
GL456212.1 length=	153618	Aligned= 25199	Unaligned= 10
JH584304.1 length=	114452	Aligned= 1135184	Unaligned= 726
GL456379.1 length=	72385	Aligned= 4675	Unaligned= 4
GL456216.1 length=	66673	Aligned= 7922	Unaligned= 131
GL456393.1 length=	55711	Aligned= 30859	Unaligned= 617
GL456366.1 length=	47073	Aligned= 3048	Unaligned= 3
GL456367.1 length=	42057	Aligned= 5575	Unaligned= 11
GL456239.1 length=	40056	Aligned= 15063	Unaligned= 167
GL456213.1 length=	39340	Aligned= 1660	Unaligned= 4
GL456383.1 length=	38659	Aligned= 15923	Unaligned= 95
GL456385.1 length=	35240	Aligned= 2533	Unaligned= 0
GL456360.1 length=	31704	Aligned= 1951	Unaligned= 1
GL456378.1 length=	31602	Aligned= 5588	Unaligned= 7
GL456389.1 length=	28772	Aligned= 9738	Unaligned= 48
GL456372.1 length=	28664	Aligned= 3328	Unaligned= 3
GL456370.1 length=	26764	Aligned= 9704	Unaligned= 86
GL456381.1 length=	25871	Aligned= 9208	Unaligned= 184
GL456387.1 length=	24685	Aligned= 12035	Unaligned= 122
GL456390.1 length=	24668	Aligned= 18296	Unaligned= 115
GL456394.1 length=	24323	Aligned= 5796	Unaligned= 107
GL456392.1 length=	23629	Aligned= 19765	Unaligned= 86
GL456382.1 length=	23158	Aligned= 1310	Unaligned= 1
GL456359.1 length=	22974	Aligned= 1312	Unaligned= 1
GL456396.1 length=	21240	Aligned= 15262	Unaligned= 91
GL456368.1 length=	20208	Aligned= 3042	Unaligned= 2
JH584292.1 length=	14945	Aligned= 776	Unaligned= 0
JH584295.1 length=	1976	Aligned= 197	Unaligned= 24
NoCoordinateCount= 175950
