## HISTOGRAM	java.lang.Integer
coverage	high_quality_coverage_count
0	182874243
1	21059498
2	29948701
3	48491673
4	74482077
5	105546631
6	138308331
7	169334847
8	195082106
9	212558250
10	220049466
11	216906542
12	204074903
13	183422299
14	157789189
15	130004023
16	102938216
17	78376719
18	57495311
19	40746729
20	27951013
21	18601621
22	12060106
23	7656403
24	4794025
25	2987703
26	1878218
27	1210370
28	811137
29	572783
30	429196
31	339886
32	283201
33	244012
34	214931
35	194200
36	174835
37	158565
38	146864
39	134317
40	124135
41	113573
42	104698
43	96849
44	89066
45	82947
46	76435
47	70351
48	65029
49	60569
50	56679
51	52886
52	50005
53	46850
54	43992
55	41909
56	39587
57	37975
58	36603
59	34423
60	33260
61	31805
62	30361
63	29316
64	27951
65	27185
66	26268
67	25109
68	24309
69	23663
70	22859
71	22086
72	21970
73	21345
74	20884
75	20738
76	19934
77	19436
78	19381
79	19077
80	17886
81	17564
82	17040
83	16683
84	16079
85	15545
86	15050
87	14396
88	14100
89	13637
90	13071
91	12429
92	12119
93	11157
94	11093
95	10773
96	10296
97	9825
98	9413
99	8894
100	8524
101	8270
102	7757
103	7359
104	7082
105	6881
106	6533
107	6214
108	5985
109	5858
110	5549
111	5207
112	5052
113	4906
114	4556
115	4242
116	4008
117	3732
118	3636
119	3413
120	3215
121	3089
122	2922
123	2923
124	2818
125	2762
126	2587
127	2498
128	2439
129	2290
130	2310
131	2097
132	2088
133	1992
134	1924
135	1933
136	1778
137	1769
138	1711
139	1712
140	1736
141	1605
142	1638
143	1571
144	1536
145	1470
146	1402
147	1429
148	1364
149	1409
150	1285
151	1214
152	1167
153	1173
154	1173
155	1123
156	1095
157	1108
158	1078
159	1114
160	1100
161	1100
162	1049
163	1106
164	1054
165	1095
166	1051
167	1039
168	981
169	1070
170	969
171	901
172	940
173	933
174	868
175	964
176	901
177	842
178	838
179	848
180	784
181	723
182	723
183	697
184	664
185	637
186	637
187	622
188	642
189	595
190	625
191	632
192	568
193	598
194	577
195	608
196	614
197	640
198	585
199	588
200	583
201	618
202	616
203	581
204	564
205	573
206	566
207	554
208	513
209	512
210	555
211	515
212	525
213	447
214	449
215	458
216	432
217	424
218	441
219	404
220	435
221	368
222	403
223	382
224	379
225	353
226	386
227	394
228	406
229	352
230	378
231	355
232	393
233	381
234	376
235	390
236	361
237	365
238	378
239	425
240	384
241	354
242	370
243	377
244	386
245	358
246	397
247	389
248	387
249	342
250	129359

